"Sesso" "Eta" "TStudio" "StatoCiv" "NFigli" "Prova1" "TOccup" "Stipendio" "Prova2" "OreSonno" "Provenienza"
"1" "M" 44 2 2 0 2.5 6 1500 25 5.4 "NORD"
"2" "M" 55 1 4 2 7.4 6 2900 18 NA NA
"3" "F" 36 3 4 1 9.1 NA 1700 30 3.5 "SUD"
"4" "M" NA 3 2 3 6.6 3 1750 25 4.2 "CENTRO"
"5" "F" 72 1 4 4 6.1 8 1300 20 5.5 "NORD"
"6" "F" 29 3 NA 0 5.7 3 950 30 6.7 "NORD"
"7" "F" 24 3 1 1 4.2 1 1100 29 NA "SUD"
"8" "M" 27 4 1 1 6.9 1 1450 25 5.8 "SUD"
"9" "F" 50 2 2 2 7.3 8 1800 20 6.9 "CENTRO"
"10" "F" 49 2 2 3 8.2 1 1880 22 7.1 "ISOLE"
"11" "M" 36 3 2 1 7.3 2 1550 21 4.6 "NORD"
"12" "F" 29 2 1 0 6.9 6 820 24 6.6 "SUD"
"13" "F" 44 1 2 3 5.5 2 1150 22 4.3 "ISOLE"
"14" "F" 33 1 1 0 6.7 7 990 25 5.2 "NORD"
"15" "F" 29 NA 2 1 4.8 7 1210 29 6.4 "SUD"
"16" "M" 25 2 2 2 7.2 5 1100 30 3.3 "SUD"
"17" "F" 31 2 2 1 7.6 4 1050 27 4.5 "NORD"
"18" "M" 37 1 3 2 5.3 7 890 28 51 "CENTRO"
"19" "F" 27 3 1 1 4.3 8 1020 24 3.2 "ISOLE"
"20" "F" 24 4 2 1 3.9 3 1000 19 5.3 "CENTRO"
"21" "M" 27 2 3 0 3.5 1 990 22 4.4 "ISOLE"
"22" "M" 28 3 2 0 6.9 2 1350 21 4.7 "NORD"
"23" "F" 46 2 4 3 7.1 4 1840 19 4.1 "SUD"
"24" "M" 41 3 2 3 5.8 5 1510 19 3.8 "NORD"
"25" "M" 44 4 4 2 6.6 6 1600 29 5.7 "NORD"
"26" "F" 33 2 3 1 6.2 6 1900 28 6.2 "NORD"
"27" "F" 55 1 3 3 7.2 7 2500 24 5.7 "CENTRO"
"28" "M" 25 1 3 2 7.9 4 1400 16 6.1 "CENTRO"
"29" "M" 37 1 2 1 4.8 5 1930 27 4.6 "SUD"
"30" "M" 33 3 2 0 6.5 3 1850 29 4.1 "ISOLE"
