"Altezza" "Sesso" "Scarpe" "Numero" "Dvds" "Ora_Letto" "Ora_Sveglia" "Taglio" "Lavoro" "Bevanda"
"1" 67 "F" 10 5 10 -2.5 5.5 60 30 "water"
"2" 64 "F" 20 7 5 1.5 8 0 20 "pop"
"3" 61 "F" 12 2 6 -1.5 7.5 48 0 "milk"
"4" 61 "F" 3 6 40 2 8.5 10 0 "water"
"5" 70 "M" 4 5 6 0 9 15 17.5 "pop"
"6" 61 "F" 12 3 53 1.5 7.5 35 20 "water"
"7" 64 "F" 25 4 20 0.5 7.5 25 0 "pop"
"8" 66 "F" 30 3 40 -0.5 7 30 25 "water"
"9" 65 "M" 10 7 22 2.5 8.5 12 0 "milk"
"10" 72 "M" 5 7 6 0 6.5 13 15 "milk"
"11" 63 "F" 20 4 60 -1 7 38 0 "water"
"12" 63.5 "F" 20 6 3 -1 7.5 110 27 "milk"
"13" 65 "F" 40 7 50 -0.5 7 15 0 "water"
"14" 66 "M" 3 7 20 2.5 8 13 0 "pop"
"15" 71 "M" 6 7 0 0.5 7.5 12 12.5 "water"
"16" 64 "F" 4 7 8 -1.5 7.5 30 16 "water"
"17" 71 "M" 9 7 12 1.5 8 0 12 "water"
"18" 61 "F" 20 5 10 1.5 7.5 20 5 "water"
"19" 56 "F" 164 8 5 1 8 40 12.5 "water"
"20" 71 "M" 11 3 13 2 10 12 20 "milk"
"21" 63 "F" 15 3 100 0 9 50 12.5 "pop"
"22" 65 "F" 5 8 10 -0.5 6 10 22 "water"
"23" 64 "F" 15 3 7 1.5 10 65 15 "pop"
"24" 59 "F" 25 6 10 0.5 8.5 25 0 "water"
"25" 61.5 "F" 25 7 52 1.5 8.5 87.6 0 "water"
"26" 70 "M" 5 4 15 3 11 15 10 "water"
"27" 64 "F" 15 6 45 1.5 7.5 10 18 "water"
"28" 63 "F" 32 7 15 2 9 42 11.5 "pop"
"29" 71 "M" 6 5 15 1 9.5 11 0 "water"
"30" 73 "M" 4 7 60 0.5 8.5 5 25 "water"
"31" 66 "F" 10 4 20 1 7 30 12 "water"
"32" 66 "F" 32 5 46 0.5 9 30 0 "pop"
"33" 63 "F" 30 6 1 2 7.25 95 20 "milk"
"34" 67 "F" 10 7 30 1.5 8.5 60 12.5 "pop"
"35" 76 "F" 12 2 20 -0.5 9.5 15 8 "water"
"36" 61 "F" 15 5 30 2 10 17 15 "water"
"37" 63 "F" 20 2 15 -0.5 9.5 21 10 "water"
"38" 62 "F" 60 3 15 0.5 7.5 50 10 "pop"
"39" 65 "F" 15 7 17 -1 9.5 25 0 "milk"
"40" 68 "F" 35 7 29 -1 6.5 25 0 "water"
"41" 63 "F" 30 5 20 1 6 180 6 "water"
"42" 62 "F" 30 4 100 2.5 8 28 0 "water"
"43" 72 "M" 2 1 150 1 8.5 0 0 "pop"
"44" 66 "F" 20 8 15 2 10 25 10 "pop"
"45" 62 "F" 5 10 10 -0.5 8.5 40 0 "water"
"46" 67 "F" 35 7 10 1.5 9 0 0 "milk"
"47" 64.5 "F" 14 7 2 -0.5 9 45 8 "pop"
"48" 66 "F" 15 3 10 2.5 9.5 17 15 "pop"
"49" 65 "F" 20 7 18 2 9 0 15 "water"
"50" 65 "F" 20 9 12 0.5 8.5 50 20 "milk"
"51" 67 "F" 15 7 30 4 11 30 0 "pop"
"52" 64 "F" 5 7 30 0.5 9 15 12 "pop"
"53" 67 "F" 20 4 5 0 8 55 10 "water"
"54" 64 "F" 50 7 40 -1 7 60 0 "water"
"55" 66 "F" 10 2 10 0.5 7.5 27 10 "water"
"56" 67 "M" 3 3 70 3 9 25 0 "water"
"57" 65 "F" 20 6 25 0 6 35 12.5 "water"
"58" 72 "M" 7 7 10 0.5 9 11 15 "water"
"59" 73 "M" 4 1 5 -1 8 10 0 "milk"
"60" 71 "M" 5 1 25 1.5 7.5 11 15 "pop"
"61" 73 "M" 8 3 20 1.5 10.5 0 4 "pop"
"62" 72 "M" 8 3 4 0 11 20 8 "pop"
"63" 68 "M" 5 8 10 2 10 0 0 "water"
"64" 64 "F" 54 3 30 2.5 8 14 16 "water"
"65" 68 "F" 25 5 10 3 8.5 15 0 "water"
"66" 62 "F" 30 3 5 1.5 6.5 40 0 "pop"
"67" 66 "M" 3 7 25 -0.5 7.5 15 0 "water"
"68" 76 "M" 8 5 10 0.5 9.5 0 17.5 "pop"
"69" 55 "F" 20 2 10 3 10.5 115 0 "pop"
"70" 71 "M" 9 4 90 2.5 7.5 7 25 "pop"
"71" 68 "F" 25 2 15 -0.5 10.5 30 16 "pop"
"72" 68 "M" 9 8 10 3.5 7 13 10 "milk"
"73" 62 "F" 70 4 30 1.5 11 25 22.5 "water"
"74" 73 "M" 5 7 40 4.5 10.5 13 20 "pop"
"75" 62 "F" 23 9 48 1.5 10.5 50 9 "water"
"76" 61 "F" 15 2 10 3.5 8 30 15 "water"
"77" 70 "M" 12 5 27.5 2.5 10.5 14.99 30 "milk"
"78" 68 "F" 35 7 9 0.5 10 57 0 "pop"
"79" 60 "F" 35 8 100 1.5 8.5 6.5 10 "water"
"80" 68 "F" 35 3 12 1.5 9 65 30 "water"
"81" 71 "M" 26 2 100 3.5 8.5 0 30 "pop"
"82" 56 "F" 20 6 20 1.5 8 10 10 "water"
"83" 67 "F" 24 4 97 0.5 9 18.75 15 "water"
"84" 69 "F" 6 7 1 -1 6.5 12 10 "water"
"85" 72 "F" 16 6 20 2 7.5 12 12 "water"
"86" 76 "F" 20 7 30 0 7 25 10 "pop"
"87" 76 "M" 8 4 20 2 9.5 15 0 "water"
"88" 70 "M" 3 6 9 2 9.5 15 0 "pop"
"89" 64 "F" 20 8 35 0 7 0 10 "pop"
"90" 72 "F" 10 6 10 0.5 7 35 0 "pop"
"91" 66 "F" 20 6 10 1.5 8 30 0 "water"
"92" 63 "F" 8 2 10 1 9 100 20 "water"
"93" 63 "F" 15 8 20 0 6.5 10 10 "pop"
"94" 64 "F" 20 6 157 1.5 7 60 20 "water"
"95" 72 "M" 4 7 10 3 8 13 15 "pop"
"96" 69 "F" 6 6 10 0 7 0 0 "milk"
"97" 54 "F" 20 7 15 1 8 90 0 "milk"
"98" 64 "F" 10 7 15 1.5 7.5 30 0 "water"
"99" 62 "F" 18 7 12 5 9 0 10 "water"
"100" 70 "M" 5 7 20 0.5 8.5 0 0 "water"
"101" 64 "F" 9 7 200 1 10.5 12 15 "water"
"102" 75 "M" 5 2 50 2.5 11.5 0 20 "water"
"103" 64 "F" 15 3 7 -1 7.5 40 0 "water"
"104" 72 "M" 4 7 25 1 7.5 11 7 "milk"
"105" 64.5 "F" 30 6 17 1 7 145 10 "pop"
"106" 61 "F" 15 8 0 0.5 8 0 10 "pop"
"107" 69 "F" 30 4 50 0.5 7 145 0 "pop"
"108" 70 "M" 4 6 8 2 7.5 14 0 "pop"
"109" 74 "M" 4 8 200 1.5 6.5 15 20 "water"
"110" 64 "F" 12 7 25 0 7 40 0 "water"
"111" 62 "F" 10 8 1 0.5 7.5 50 17.5 "water"
"112" 70 "M" 3 3 0 0.5 7.5 12 0 "water"
"113" 68 "F" 7 5 0 1 7 0 20 "water"
"114" 64.5 "F" 17 8 12 -0.5 7.5 14 0 "milk"
"115" 67 "F" 10 4 20 0.5 7.5 15 17.5 "water"
"116" 71 "M" 15 3 50 3.5 7 75 30 "pop"
"117" 72 "M" 2 2 15 1 7.5 0 17.5 "milk"
"118" 62 "F" 50 7 20 0 8 15 15 "water"
"119" 68 "M" 4 2 7 3.5 8 12 14 "water"
"120" 66 "F" 12 6 20 0.5 7 33 0 "water"
"121" 67 "F" 8 8 20 -1 7.5 10 20 "water"
"122" 73 "M" 10 4 15 2 8 13 10 "water"
"123" 66 "F" 7 8 5 1.5 8 85 15 "pop"
"124" 68 "M" 9 5 25 -0.5 7.5 10 20 "milk"
"125" 74 "M" 5 2 5 1.5 8 14 15 "water"
"126" 63 "M" 3 5 17.5 0 8 13 0 "water"
"127" 72 "M" 8 3 12 1 7.5 10 20 "water"
"128" 67 "F" 15 9 20 1 8 25 12 "pop"
"129" 71 "M" 3 6 35 -0.5 7 15 0 "water"
"130" 64 "F" 25 3 40 -1 8.5 10 0 "water"
"131" 67 "F" 20 7 20 3.5 8.5 20 17.5 "water"
"132" 70 "M" 5 7 80 2.5 7.5 0 45 "water"
"133" 77 "M" 5 9 3 1.5 8.5 0 15 "milk"
"134" 69 "M" 4 6 50 1.5 8.5 18 0 "milk"
"135" 54 "F" 5 6 2 -0.5 6.5 30 20 "water"
"136" 60 "F" 40 2 10 0.5 8.5 75 0 "milk"
"137" 68 "M" 3 7 7 1 9 13 0 "water"
"138" 69 "M" 7 5 6 0 8 19 0 "water"
"139" 63 "F" 12 5 2 2 9 17 14 "milk"
"140" 75 "M" 10 8 10 1 9 15 0 "water"
"141" 69 "M" 5 7 10 0 7.5 15 10 "pop"
"142" 63 "F" 7 8 30 -0.5 7.5 0 0 "pop"
"143" 64 "F" 25 7 15 0.5 8.5 25 15 "water"
"144" 65 "F" 15 5 10 -0.5 6 55 0 "pop"
"145" 70 "M" 7 8 120 0.5 8.5 13 30 "pop"
"146" 67 "F" 40 8 50 -0.5 7 85 30 "water"
"147" 75 "M" 2 7 41 -2 7.5 15 25 "water"
"148" 62 "F" 23 3 25 -0.5 8.5 0 20 "milk"
"149" 71 "M" 3 4 900 2.5 7.5 15 25 "milk"
"150" 68 "M" 15 5 60 -0.5 7 0 20 "water"
"151" 66 "F" 25 6 150 -0.5 6 45 15 "water"
"152" 70 "M" 4 8 10 -0.5 6 0 20 "water"
"153" 74 "M" 6 9 20 -0.5 7 12 20 "pop"
"154" 67 "F" 6 2 200 -1 6.5 15 40 "pop"
"155" 64 "F" 44 6 25 0.5 7 42 20 "water"
"156" 68 "F" 20 2 15 0.5 7 45 0 "water"
"157" 64 "F" 20 7 40 1.5 7 20 30 "pop"
"158" 79 "M" 5 4 7 1 7 10 0 "water"
"159" 63 "F" 4 8 10 1.5 7 0 27.5 "water"
"160" 64 "F" 25 5 20 1.5 7 70 0 "milk"
"161" 71 "F" 45 9 37 2 6.5 90 12 "water"
"162" 61 "F" 10 8 20 -0.5 6.5 10 8 "water"
"163" 58.5 "F" 20 9 0 -0.5 7 35 22.5 "pop"
"164" 66.5 "F" 8 9 40 2.5 9 50 30 "milk"
"165" 66 "F" 20 3 10 2 7.5 45 13 "water"
"166" 64 "F" 36 3 36 3.5 8.5 25 8 "water"
"167" 60 "F" 35 5 100 1.5 8.6 70 10 "water"
"168" 65 "F" 20 5 200 -0.5 7.25 50 10 "water"
"169" 63 "F" 30 8 30 1.5 8 15 0 "water"
"170" 69 "F" 8 2 5 0 8 0 10 "water"
"171" 66 "F" 25 5 150 0.5 9.5 90 0 "pop"
"172" 67 "F" 38 5 53 0.5 9 160 0 "pop"
"173" 62 "F" 50 4 7 -0.5 8 30 15 "water"
"174" 67 "F" 49 8 36 2 8.5 109 0 "milk"
"175" 69 "M" 7 3 11 1.5 8 13 4 "milk"
"176" 67 "F" 10 3 20 0.5 8 35 0 "water"
"177" 64 "F" 27 9 11 1 10 35 15 "milk"
"178" 67 "F" 25 7 30 1.5 8.25 12 17.5 "water"
"179" 69 "M" 2 9 31 2 8.5 12 10 "milk"
"180" 72 "M" 7 5 50 1.5 12 25 0 "water"
"181" 65 "M" 13 7 17 1.5 8.5 15 12 "milk"
"182" 64 "F" 30 6 2 0.3 7.9 0 22.5 "water"
"183" 62 "M" 9 8 45 2.5 10.5 14 15 "pop"
"184" 64 "F" 17 6 12 1.5 9.5 25 0 "water"
"185" 64 "F" 10 7 250 -0.5 6.5 10 26 "milk"
"186" 66 "F" 15 2 7 0 8.5 20 80 "water"
"187" 65.5 "F" 4 6 40 -0.5 8.5 25 30 "water"
"188" 66 "M" 4 7 10 1 10.5 10 10 "pop"
"189" 68 "M" 3 9 20 1.5 8.5 25 0 "milk"
"190" 67 "M" 4 7 12 1.5 8.5 0 10 "water"
"191" 71 "M" 4 5 12 2.5 11.5 10 40 "milk"
"192" 71.5 "M" 5 7 15 2.5 9.5 0 10 "water"
"193" 70 "M" 10 6 8 3 10 0 20 "pop"
"194" 63 "F" 13 8 35 1 8 67 0 "pop"
"195" 70 "M" 2 4 8 0.5 7.5 0 10 "pop"
"196" 63 "F" 20 10 2 5 8.5 0 20 "water"
"197" 68 "F" 30 7 40 1 9 30 0 "water"
"198" 67 "F" 15 8 20 3.5 10.75 35 10 "milk"
"199" 73 "M" 2 5 21 0 8 13.99 0 "pop"
"200" 70 "M" 6 8 25 1 10.5 12 0 "milk"
"201" 68 "M" 40 6 28 -1 6 0 4 "water"
"202" 71 "M" 4 7 50 1 6 30 40 "milk"
"203" 69 "F" 15 9 12 -0.5 6.5 10 45 "water"
"204" 72 "M" 5 7 20 1.5 10.5 0 0 "water"
"205" 72 "M" 11 5 175 2.5 9 14 42.5 "pop"
"206" 70 "M" 8 5 50 2 10 10 0 "water"
"207" 60 "F" 22 5 10 3 11.5 130 6.5 "water"
"208" 62 "F" 25 8 2 1.5 10.5 50 10 "water"
"209" 68 "F" 10 3 40 -1 8.5 15 12 "pop"
"210" 72 "M" 6 4 40 2.5 10 15 0 "pop"
"211" 69 "F" 35 8 50 0.5 10 50 11 "water"
"212" 70 "M" 25 7 60 0 8.5 20 11 "water"
"213" 61 "F" 33 5 20 0.5 9.5 35 15 "pop"
"214" 66 "F" 15 3 12 2.5 9.5 14 0 "water"
"215" 73 "M" 10 7 130 0.5 8.5 15 0 "water"
"216" 70 "F" 5 3 30 1 10 0 17.5 "milk"
"217" 71 "F" 10 6 14 2.5 9 20 20 "water"
"218" 72 "M" 6 8 10 1.5 8.5 13 0 "pop"
"219" 66 "F" 100 2 50 3 8.5 30 0 "water"
"220" 70 "M" 10 7 24 3.5 9 9 10 "pop"
"221" 67 "F" 10 7 15 3.5 9.5 30 17.5 "milk"
"222" 62 "F" 15 7 40 0 8 30 20 "milk"
"223" 62 "F" 15 3 10 1.5 7.5 40 0 "pop"
"224" 64 "F" 20 5 40 1.5 8.5 40 0 "pop"
"225" 67 "M" 3 4 30 1 11 18 10 "water"
"226" 70 "M" 6 8 50 1.5 7.5 18 40 "water"
"227" 70 "F" 7 8 6 2 9 24 10 "water"
"228" 71 "M" 6 7 60 4 11.5 25 0 "pop"
"229" 68 "M" 2 3 10 4 12 0 10 "pop"
"230" 65.5 "F" 30 9 30 1 9 25 12.5 "water"
"231" 62.5 "F" 30 3 50 -0.5 8 23 40 "water"
"232" 84 "F" 15 8 25 2.5 6.5 25 20 "water"
"233" 60 "F" 15 4 100 2.5 9.5 10 10 "milk"
"234" 70 "M" 10 7 0 2.5 7.5 15 10 "milk"
"235" 68 "M" 3 5 42 2.5 8 15 17.5 "water"
"236" 71 "M" 3 1 15 0.5 8 9 0 "water"
"237" 62 "M" 2 7 152 -2.5 2.5 0 35 "milk"
"238" 62 "F" 13 5 15 3.5 10 10 15 "milk"
"239" 65 "F" 20 7 30 3 12 30 25 "milk"
"240" 60 "F" 14 6 1 0 7 20 20 "water"
"241" 67.5 "F" 17.5 6 20 0 7 28 0 "water"
"242" 64 "F" 35 7 4 1.5 7.5 50 0 "water"
"243" 73 "F" 6 7 5 2 7.5 15 12 "water"
"244" 68 "M" 1 9 30 2 7.6 13 0 "water"
"245" 70 "M" 4 6 13 -0.5 7.5 24 0 "milk"
"246" 67 "F" 15 6 30 0.5 7.5 20 10 "water"
"247" 63 "F" 7 7 50 2 7 11 0 "water"
"248" 72 "M" 6 7 80 0 8 20 0 "water"
"249" 73 "M" 6 5 22.5 -0.5 7.5 0 0 "water"
"250" 61 "M" 6 2 3 -0.5 6.8 0 20 "milk"
"251" 60 "F" 15 3 10 -0.5 7.5 25 0 "pop"
"252" 66 "F" 10 8 9 -0.5 6.5 0 37.5 "water"
"253" 68 "F" 40 7 10 1 8 20 1.5 "water"
"254" 63 "F" 25 4 10 -0.5 6.5 15 10 "water"
"255" 67 "M" 4 8 9 3.5 7.5 13 15 "water"
"256" 67 "F" 10 7 20 1 8.5 50 10 "water"
"257" 63 "F" 30 7 25 -1.5 8 25 0 "water"
"258" 64 "F" 15 4 10 0.5 9.5 0 0 "water"
"259" 68 "F" 0 3 8 0.5 8 27 12.5 "water"
"260" 72 "M" 4 7 50 2.5 9.5 12 0 "water"
"261" 67.5 "F" 40 7 15 2 9.5 65 15 "water"
"262" 64 "F" 15 9 20 -0.5 9 45 20 "water"
"263" 79 "M" 4 2 30 0 9 10 0 "water"
"264" 66 "M" 10 7 10 1 6.5 20 0 "pop"
"265" 64 "F" 10 2 0 0.5 7.5 0 0 "water"
"266" 64 "F" 8 6 30 0 5.5 14 36 "water"
"267" 68 "M" 7 2 60 2 9 0 12.5 "milk"
"268" 70 "M" 7 7 80 0 8.5 0 13.5 "milk"
"269" 70 "F" 10 7 20 -1.5 6 15 0 "pop"
"270" 65 "F" 20 8 10 3.5 8.5 41 15 "water"
"271" 62 "F" 30 7 200 -0.5 7.5 0 6 "water"
"272" 69 "M" 3 7 10 2 8.5 17 12.5 "water"
"273" 74 "M" 5 1 3 -0.5 9.5 0 30 "water"
"274" 65 "F" 12 7 25 3.5 8 11 15 "pop"
"275" 68 "M" 6 4 20 -0.5 6 0 0 "pop"
"276" 60 "F" 15 2 3 -1.5 9.5 30 0 "milk"
"277" 66 "F" 18 2 1 3 10 0 28 "milk"
"278" 65 "F" 35 7 20 3.5 11 15 25 "water"
"279" 68 "M" 4 8 2 2.5 9 0 1 "water"
"280" 67 "M" 8 7 20 2.5 11 12 0 "pop"
"281" 72 "M" 6 7 0 0.5 9 10 12 "pop"
"282" 65 "F" 40 6 70 0.5 8.5 14 12 "pop"
"283" 67 "M" 8 10 10 0.5 9 10 0 "pop"
"284" 72 "M" 8 3 35 1 8.5 12 0 "water"
"285" 67 "F" 3 7 50 0 10 20 17 "milk"
"286" 72 "M" 5 8 6 1.5 8.5 19 0 "water"
"287" 66 "M" 15 5 20 1.5 8 20 20 "water"
"288" 73 "M" 7 7 20 1.5 7 14 40 "milk"
"289" 71 "M" 4 7 62 5 12 13 12 "pop"
"290" 71 "M" 2 3 3 0 9 10 0 "water"
"291" 72 "M" 3 7 4 0 9 13 0 "water"
"292" 66 "F" 14 7 15 -0.5 11 20 20 "water"
"293" 69 "F" 20 3 25 -2 5 33 0 "pop"
"294" 72 "F" 4 3 4 2.5 10.5 0 0 "water"
"295" 65 "F" 15 4 9 0.5 7 15 0 "water"
"296" 67 "F" 10 6 20 2.5 8.5 65 15 "water"
"297" 65 "F" 15 4 9 0.5 7 15 0 "water"
"298" 62 "F" 12 8 4 1.5 11 20 3.5 "water"
"299" 63 "F" 25 3 3 0.5 8.5 70 25 "pop"
"300" 65 "F" 30 2 20 1 7 90 20 "pop"
"301" 67 "F" 20 7 12 0.5 8 24 5 "milk"
"302" 69 "F" 20 7 40 2 9 70 0 "water"
"303" 65 "F" 21 9 20 -1 9 20 15 "pop"
"304" 70 "M" 37 3 0 0 9 10 15 "water"
"305" 66 "F" 10 2 30 0 7 25 6 "water"
"306" 64 "F" 30 2 5 1.5 9.5 65 15 "water"
"307" 70 "M" 8 2 7 1 10.5 0 15 "water"
"308" 67 "F" 11 5 30 -0.5 8 25 16 "water"
"309" 66 "F" 25 6 20 1.5 7.5 35 10 "water"
"310" 67 "F" 30 3 10 1 8.5 50 12 "pop"
"311" 62 "F" 30 4 18 1 10 25 0 "water"
"312" 62 "F" 6 3 40 4 10.5 30 15 "milk"
"313" 63 "F" 25 8 20 -0.5 8.5 32 0 "water"
"314" 64 "F" 20 4 22 0.5 9.5 86 0 "water"
"315" 64 "F" 17.5 3 25 -0.5 9.5 80 25 "milk"
"316" 61 "F" 15 7 20 0 10 30 0 "milk"
"317" 64 "F" 30 4 50 1.5 7.5 25 0 "milk"
"318" 62 "F" 18 7 1000 -0.5 8 45 17.5 "water"
"319" 67 "F" 12 7 75 1.5 7.5 12 11 "water"
"320" 65 "F" 50 3 30 2.5 8.5 0 17.5 "water"
"321" 66 "M" 4 9 20 2.5 8.5 10 22.5 "water"
"322" 72 "M" 8 6 18 0 7.5 17 0 "pop"
"323" 64 "F" 40 4 35 1 9 14 14 "water"
"324" 70 "M" 10 7 2.5 2 10.5 0 0 "water"
"325" 67 "M" 11 4 7 0.5 8.5 13 24 "pop"
"326" 63 "F" 24 9 100 0 8 90 0 "water"
"327" 75 "M" 3 4 120 -1 8 0 20 "pop"
"328" 74 "M" 7 3 40 2 8.5 13 0 "milk"
"329" 67 "M" 1 8 20 1 6.5 9 20 "pop"
"330" 62 "F" 15 7 6 0.5 8.5 25 12.5 "water"
"331" 72 "F" 14 7 15 -1.5 5.5 35 0 "water"
"332" 70 "F" 20 9 5 1.5 11 35 22 "water"
"333" 64 "F" 27.5 7 35 2.5 7.5 45 17.5 "water"
"334" 66 "F" 35 4 10 -0.5 7.5 17 9 "water"
"335" 60.5 "F" 2 3 0 1.5 5.5 0 0 "milk"
"336" 66 "F" 8 8 15 1 8.5 0 20 "water"
"337" 72 "M" 5 5 20 4 9.5 0 35 "pop"
"338" 72 "M" 5 9 3 1.5 9.5 9 18 "milk"
"339" 64 "F" 15 6 100 0 10 20 10 "water"
"340" 65 "F" 25 7 10 -0.5 7.5 20 15 "water"
"341" 62 "F" 10 5 3 2 9 40 0 "water"
"342" 64 "F" 40 7 20 -0.5 7 0 20 "water"
"343" 65 "F" 35 6 0 2.5 7.5 30 22.5 "water"
"344" 68 "M" 5 7 65 1.5 8 10 17.5 "milk"
"345" 73 "M" 3 5 10 3 11.5 14 12 "pop"
"346" 71 "M" 3 9 75 2.5 10.5 15 8 "pop"
"347" 62 "F" 17 3 10 1.5 9.5 17 15 "pop"
"348" 62 "F" 20 7 25 1.5 8.5 60 3 "water"
"349" 63 "F" 10 8 20 0 8.5 25 20 "milk"
"350" 70 "M" 6 7 10 -2 10 12 15 "water"
"351" 71 "M" 4 7 5 4.5 9 0 0 "water"
"352" 64 "F" 10 3 5 3 10.5 75 12 "milk"
"353" 64 "F" 10 3 5 3 10.5 75 12 "milk"
"354" 74 "M" 5 7 3 2 10 0 0 "water"
"355" 64 "F" 20 6 15 1 9 28 8 "milk"
