-6	-0.090 	0.0082 	-0.1621
-5	0.019 	0.0083 	-0.1657
-4	0.127 	0.0083 	-0.1690
-3	0.235 	0.0084 	-0.1722
-2	0.343 	0.0084 	-0.1753
-1	0.450 	0.0085 	-0.1781
0	0.558 	0.0086 	-0.1805
1	0.665 	0.0088 	-0.1832
2	0.772 	0.0090 	-0.1857
3	0.879 	0.0092 	-0.1880
4	0.985 	0.0095 	-0.1901
5	1.090 	0.0099 	-0.1920
6	1.196 	0.0102 	-0.1937
7	1.300 	0.0106 	-0.1952
8	1.404 	0.0111 	-0.1965
9	1.475 	0.0176 	-0.1903
10	1.562 	0.0202 	-0.1878
11	1.646 	0.0225 	-0.1848
12	1.724 	0.0246 	-0.1807
13	1.770 	0.0270 	-0.1712
