-4,0.125,0.0087
-3.5,0.179,0.00875
-3,0.233,0.0088
-2.5,0.2865,0.00885
-2,0.34,0.0089
-1.5,0.394,0.00895
-1,0.448,0.009
-0.5,0.5015,0.00905
0,0.555,0.0091
0.5,0.6085,0.0092
1,0.662,0.0093
1.5,0.7155,0.0094
2,0.769,0.0095
2.5,0.8225,0.0096
3,0.876,0.0097
3.5,0.929,0.00985
4,0.982,0.01
4.5,1.0345,0.0102
5,1.087,0.0104
5.5,1.1395,0.0106
6,1.192,0.0108
6.5,1.2445,0.01105
7,1.297,0.0113
7.5,1.3485,0.01155
8,1.4,0.0118
8.5,1.436,0.015
9,1.472,0.0182
9.5,1.5125,0.0198
10,1.553,0.0214
10.5,1.5945,0.02265
11,1.636,0.0239
11.5,1.668,0.02505
12,1.7,0.0262
12.5,1.5198,NaN
13.5,1.5276,NaN
14,1.5284,NaN
14.5,1.5257,NaN
15,1.5179,NaN
15.5,1.5146,NaN
16,1.5035,NaN
