-4,0.127,0.0083
-3.5,0.181,0.00835
-3,0.235,0.0084
-2.5,0.289,0.0084
-2,0.343,0.0084
-1.5,0.3965,0.00845
-1,0.45,0.0085
-0.5,0.504,0.00855
0,0.558,0.0086
0.5,0.6115,0.0087
1,0.665,0.0088
1.5,0.7185,0.0089
2,0.772,0.009
2.5,0.8255,0.0091
3,0.879,0.0092
3.5,0.932,0.00935
4,0.985,0.0095
4.5,1.0375,0.0097
5,1.09,0.0099
5.5,1.143,0.01005
6,1.196,0.0102
6.5,1.248,0.0104
7,1.3,0.0106
7.5,1.352,0.01085
8,1.404,0.0111
8.5,1.4395,0.01435
9,1.475,0.0176
9.5,1.5185,0.0189
10,1.562,0.0202
10.5,1.604,0.02135
11,1.646,0.0225
11.5,1.685,0.02355
12,1.724,0.0246
12.5,1.747,0.0258
13.5,1.5276,0.03635
14,1.5284,0.04147
14.5,1.5257,0.04743
15,1.5179,0.05443
15.5,1.5146,0.06133
16,1.5035,0.06943
