-4,-0.091,0.0056
-3.5,-0.0425,0.0056
-3,0.006,0.0056
-2.5,0.059,0.00555
-2,0.112,0.0055
-1.5,0.1645,0.00555
-1,0.217,0.0056
-0.5,0.27,0.0056
0,0.323,0.0056
0.5,0.3755,0.00565
1,0.428,0.0057
1.5,0.48,0.00575
2,0.532,0.0058
2.5,0.5835,0.0058
3,0.635,0.0058
3.5,0.6865,0.00585
4,0.738,0.0059
4.5,0.789,0.006
5,0.84,0.0061
5.5,0.8905,0.0062
6,0.941,0.0063
6.5,0.9585,0.0111
7,0.976,0.0159
7.5,0.8492,0.01504
8,0.8395,0.01781
8.5,0.8368,0.02055
9,0.8485,0.02278
9.5,0.87,0.02466
10,0.8946,0.02642
10.5,0.9231,0.02804
11,0.9535,0.02961
11.5,0.9826,0.0313
12,1.0101,0.03317
12.5,1.0367,0.03517
13.5,1.0832,0.03992
14,1.1041,0.04259
14.5,1.1266,0.04522
15,1.1425,0.04856
15.5,1.1603,0.0518
16,1.1508,0.05805
