-4,-0.097,0.0052
-3.5,-0.044,0.0052
-3,0.009,0.0052
-2.5,0.0625,0.0052
-2,0.116,0.0052
-1.5,0.169,0.0052
-1,0.222,0.0052
-0.5,0.2745,0.00525
0,0.327,0.0053
0.5,0.38,0.0053
1,0.433,0.0053
1.5,0.4855,0.00535
2,0.538,0.0054
2.5,0.59,0.0054
3,0.642,0.0054
3.5,0.6935,0.00545
4,0.745,0.0055
4.5,0.7965,0.0056
5,0.848,0.0057
5.5,0.899,0.00575
6,0.95,0.0058
6.5,0.9675,0.0104
7,0.985,0.015
7.5,0.8492,0.01504
8,0.8395,0.01781
8.5,0.8368,0.02055
9,0.8485,0.02278
9.5,0.87,0.02466
10,0.8946,0.02642
10.5,0.9231,0.02804
11,0.9535,0.02961
11.5,0.9826,0.0313
12,1.0101,0.03317
12.5,1.0367,0.03517
13.5,1.0832,0.03992
14,1.1041,0.04259
14.5,1.1266,0.04522
15,1.1425,0.04856
15.5,1.1603,0.0518
16,1.1508,0.05805
