-4,-0.1298,0.0091
-3.5,-0.1125,0.00798
-3,-0.1172,0.00629
-2.5,-0.0699,0.0063
-2,-0.0136,0.00651
-1.5,0.0431,0.00678
-1,0.1015,0.00725
-0.5,0.163,0.00816
0,0.2185,0.00823
0.5,0.275,0.00826
1,0.3313,0.00831
1.5,0.3873,0.00836
2,0.4431,0.00838
2.5,0.4994,0.00837
3,0.5583,0.00831
3.5,0.6112,0.00787
4,0.6628,0.00769
4.5,0.7157,0.00758
5,0.766,0.00747
5.5,0.8096,0.00736
6,0.8191,0.00763
6.5,0.7764,0.00927
7,0.7548,0.01131
7.5,0.7471,0.01347
8,0.7526,0.01535
8.5,0.7674,0.01699
9,0.7861,0.01862
9.5,0.8125,0.02
10,0.8415,0.02133
10.5,0.8724,0.02251
11,0.9025,0.02383
11.5,0.9322,0.02523
12,0.9632,0.02662
12.5,0.99,0.02824
13.5,1.0336,0.03246
14,1.0452,0.03549
14.5,1.0613,0.03836
15,1.0807,0.04167
15.5,1.0975,0.0463
16,1.1114,0.05082
