	*NODES										
!	n. of node	constraint code (x,y,theta)	x coordinate	y coordinate							
	1,00	0 0 1	0,00	0,00							
	2,00	0 0 0	0,00	0,50							
	3,00	0 0 0	0,00	1,00							
	4,00	0 0 0	0,00	1,50							
	5,00	0 0 0	0,50	1,50							
	6,00	0 0 0	1,00	1,50							
	7,00	0 0 0	1,50	1,50							
	8,00	0 0 0	1,50	1,00							
	9,00	0 0 0	1,50	0,50							
	10,00	0 1 0	1,50	0,00							
	*ENDNODES										
	*BEAMS										
!	n el	1st node	2nd node	m	EA	EJ					
	1,00	1,00	2,00	7800,00	414060000,00	1,79E+06					
	2,00	2,00	3,00	7800,00	414060000,00	1,79E+06					
	3,00	3,00	4,00	7800,00	414060000,00	1,79E+06					
	4,00	3,00	5,00	7800,00	64717000,00	1617.09.00					
	5,00	4,00	5,00	7800,00	414060000,00	1,79E+06					
	6,00	5,00	6,00	7800,00	414060000,00	1,79E+06					
	7,00	6,00	7,00	7800,00	414060000,00	1,79E+06					
	8,00	6,00	8,00	7800,00	64717000,00	1617.09.00					
	9,00	7,00	8,00	7800,00	414060000,00	1,79E+06					
	10,00	8,00	9,00	7800,00	414060000,00	1,79E+06					
	11,00	9,00	10,00	7800,00	414060000,00	1,79E+06					
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
											
